1928	180
1929	180
1930	180
1931	180
1932	0
1933	0
1934	0
1935	0
1936	90
1937	90
1938	90
1939	90
1940	270
1941	270
1942	270
1943	270
1864	180
1865	180
1866	180
1867	180
1868	0
1869	0
1870	0
1871	0
1872	90
1873	90
1874	90
1875	90
1876	270
1877	270
1878	270
1879	270
1880	180
1881	180
1882	180
1883	180
1884	0
1885	0
1886	0
1887	0
1888	90
1889	90
1890	90
1891	90
1892	270
1893	270
1894	270
1895	270
1832	180
1833	180
1834	180
1835	180
1836	0
1837	0
1838	0
1839	0
1840	90
1841	90
1842	90
1843	90
1844	270
1845	270
1846	270
1847	270
1800	180
1801	180
1802	180
1803	180
1804	0
1805	0
1806	0
1807	0
1808	90
1809	90
1810	90
1811	90
1812	270
1813	270
1814	270
1815	270
1896	180
1897	180
1898	180
1899	180
1900	0
1901	0
1902	0
1903	0
1904	90
1905	90
1906	90
1907	90
1908	270
1909	270
1910	270
1911	270
1736	180
1737	180
1738	180
1739	180
1740	0
1741	0
1742	0
1743	0
1744	90
1745	90
1746	90
1747	90
1748	270
1749	270
1750	270
1751	270
1816	180
1817	180
1818	180
1819	180
1820	0
1821	0
1822	0
1823	0
1824	90
1825	90
1826	90
1827	90
1828	270
1829	270
1830	270
1831	270
1768	180
1769	180
1770	180
1771	180
1772	0
1773	0
1774	0
1775	0
1776	90
1777	90
1778	90
1779	90
1780	270
1781	270
1782	270
1783	270
1720	180
1721	180
1722	180
1723	180
1724	0
1725	0
1726	0
1727	0
1728	90
1729	90
1730	90
1731	90
1732	270
1733	270
1734	270
1735	270
1704	180
1705	180
1706	180
1707	180
1708	0
1709	0
1710	0
1711	0
1712	90
1713	90
1714	90
1715	90
1716	270
1717	270
1718	270
1719	270
1784	180
1785	180
1786	180
1787	180
1788	0
1789	0
1790	0
1791	0
1792	90
1793	90
1794	90
1795	90
1796	270
1797	270
1798	270
1799	270
1848	180
1849	180
1850	180
1851	180
1852	0
1853	0
1854	0
1855	0
1856	90
1857	90
1858	90
1859	90
1860	270
1861	270
1862	270
1863	270
1912	180
1913	180
1914	180
1915	180
1916	0
1917	0
1918	0
1919	0
1920	90
1921	90
1922	90
1923	90
1924	270
1925	270
1926	270
1927	270
1688	180
1689	180
1690	180
1691	180
1692	0
1693	0
1694	0
1695	0
1696	90
1697	90
1698	90
1699	90
1700	270
1701	270
1702	270
1703	270
1752	180
1753	180
1754	180
1755	180
1756	0
1757	0
1758	0
1759	0
1760	90
1761	90
1762	90
1763	90
1764	270
1765	270
1766	270
1767	270
