# Original generated item model layers; rotation xyz, translation xyz, scale xyz.
acacia_boat	item/acacia_boat	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
acacia_chest_boat	item/acacia_chest_boat	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
acacia_door	item/acacia_door	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
acacia_hanging_sign	item/acacia_hanging_sign	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
acacia_sapling	block/acacia_sapling	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
acacia_sign	item/acacia_sign	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
activator_rail	block/activator_rail	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
allay_spawn_egg	item/spawn_egg,item/spawn_egg_overlay	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
allium	block/allium	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
amethyst_cluster	block/amethyst_cluster	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
amethyst_shard	item/amethyst_shard	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
angler_pottery_sherd	item/angler_pottery_sherd	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
apple	item/apple	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
archer_pottery_sherd	item/archer_pottery_sherd	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
armor_stand	item/armor_stand	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
arms_up_pottery_sherd	item/arms_up_pottery_sherd	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
arrow	item/arrow	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
axolotl_bucket	item/axolotl_bucket	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
axolotl_spawn_egg	item/spawn_egg,item/spawn_egg_overlay	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
azure_bluet	block/azure_bluet	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
baked_potato	item/baked_potato	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bamboo	item/bamboo	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bamboo_chest_raft	item/bamboo_chest_raft	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bamboo_door	item/bamboo_door	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bamboo_hanging_sign	item/bamboo_hanging_sign	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bamboo_raft	item/bamboo_raft	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bamboo_sign	item/bamboo_sign	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
barrier	item/barrier	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bat_spawn_egg	item/spawn_egg,item/spawn_egg_overlay	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bee_spawn_egg	item/spawn_egg,item/spawn_egg_overlay	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
beef	item/beef	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
beetroot	item/beetroot	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
beetroot_seeds	item/beetroot_seeds	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
beetroot_soup	item/beetroot_soup	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
bell	item/bell	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
birch_boat	item/birch_boat	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
birch_chest_boat	item/birch_chest_boat	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
birch_door	item/birch_door	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
birch_hanging_sign	item/birch_hanging_sign	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
birch_sapling	block/birch_sapling	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
birch_sign	item/birch_sign	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
black_candle	item/black_candle	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
black_dye	item/black_dye	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
black_stained_glass_pane	block/black_stained_glass	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blade_pottery_sherd	item/blade_pottery_sherd	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blaze_powder	item/blaze_powder	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blaze_rod	item/blaze_rod	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blaze_spawn_egg	item/spawn_egg,item/spawn_egg_overlay	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blue_candle	item/blue_candle	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blue_dye	item/blue_dye	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blue_orchid	block/blue_orchid	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
blue_stained_glass_pane	block/blue_stained_glass	0,-90,25,1.13,3.2,1.13,0.68,0.68,0.68
