0	ambient_entity_effect	0,1,2,3,4,5,6,7
1	angry_villager	8
5	cloud	9,10,11,12,13,14,15,16
7	damage_indicator	17
8	dragon_breath	11,10,9
9	dripping_lava	18
10	falling_lava	19
11	landing_lava	20
12	dripping_water	18
13	falling_water	19
16	effect	0,1,2,3,4,5,6,7
19	enchant	21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
20	end_rod	47,48,49,50,51,52,53,54
21	entity_effect	0,1,2,3,4,5,6,7
23	explosion	55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
28	flame	71
29	cherry_leaves	72,73,74,75,76,77,78,79,80,81,82,83
30	sculk_soul	84,85,86,87,88,89,90,91,92,93,94
32	sculk_charge_pop	95,96,97,98
33	soul_fire_flame	99
34	soul	100,101,102,103,104,105,106,107,108,109,110
35	flash	111
36	happy_villager	112
37	composter	112
38	heart	113
39	instant_effect	114,115,116,117,118,119,120,121
44	large_smoke	9,10,11,12,13,14,15,16
45	lava	122
46	mycelium	16
47	note	123
48	poof	9,10,11,12,13,14,15,16
49	portal	16,15,14,13,12,11,10,9
50	rain	124,125,126,127
51	smoke	9,10,11,12,13,14,15,16
52	sneeze	9,10,11,12,13,14,15,16
53	spit	9,10,11,12,13,14,15,16
54	squid_ink	9,10,11,12,13,14,15,16
56	totem_of_undying	47,48,49,50,51,52,53,54
57	underwater	16
59	witch	114,115,116,117,118,119,120,121
60	bubble_pop	128,129,130,131,132
61	current_down	133
62	bubble_column_up	133
63	nautilus	134
64	dolphin	16
65	campfire_cosy_smoke	135,136,137,138,139,140,141,142,143,144,145,146
66	campfire_signal_smoke	135,136,137,138,139,140,141,142,143,144,145,146
67	dripping_honey	18
68	falling_honey	19
69	landing_honey	20
70	falling_nectar	19
71	falling_spore_blossom	19
72	ash	16
73	crimson_spore	16
74	warped_spore	16
75	spore_blossom_air	19
76	dripping_obsidian_tear	18
77	falling_obsidian_tear	19
78	landing_obsidian_tear	20
79	reverse_portal	16,15,14,13,12,11,10,9
80	white_ash	16
81	small_flame	71
82	snowflake	9,10,11,12,13,14,15,16
83	dripping_dripstone_lava	18
84	falling_dripstone_lava	19
85	dripping_dripstone_water	18
86	falling_dripstone_water	19
87	glow_squid_ink	9,10,11,12,13,14,15,16
88	glow	147
89	wax_on	147
90	wax_off	147
91	electric_spark	147
92	scrape	147
94	egg_crack	112
14	dust	9,10,11,12,13,14,15,16
15	dust_color_transition	9,10,11,12,13,14,15,16
